profile_url,bio,following_count,followers_count,location,website,status
https://twitter.com/GTNUK1,"Providing Entertainment & Travel to Commercial Radio. Reaching 28.9M weekly listeners. Winners of The Arqiva National Sales Team of the Year 2010, 2011 & 2016",446,125,"London, England",https://t.co/aJKvkwp2dG,Success
https://twitter.com/whatsapp,message privately with WhatsApp,5,5500000,California,https://t.co/ku2ShnylHa,Success
https://twitter.com/aacb_CBPTrade,Customs Broker,124,36,"Florida, USA",N/A,Success
https://twitter.com/aacbdotcom,A & A Freight | Warehousing | Customs Brokerage | Helping people ship across borders.,3805,650,Worldwide,http://t.co/laZo1M99c7,Success
https://twitter.com/@AAWindowPRODUCT,A commercial glass and glazing company serving the window industry in New England since 1954. #SafetyQualityService,88,80,"Malden, MA",https://t.co/UrYUiEDwWi,Success
https://www.twitter.com/aandb_kia,"A&B Kia is a Kia dealer in Benwood, WV. Stay connected to exceed expectations. Build strong relationships. Drive the best with us.",331,296,"Benwood, West Virginia ",http://t.co/H1m1Bi9YHp,Success
https://twitter.com/ABHomeInc,"Industry leader in wholesale home decor, furniture, and garden, since 1993.",176,362,"Rancho Cucamonga, CA",https://t.co/2lx3XxMZio,Success
https://twitter.com/Abrepro,"From large format black & white prints to the most sophisticated of digital color printing jobs, A & B can get the job done right.",123,131,"Bentonville, AR",http://t.co/zyISURRqvP,Success
http://www.twitter.com,N/A,N/A,N/A,N/A,N/A,Invalid URL format
https://twitter.com/ACChristofiLtd,"A & C CHRISTOFI LTD is a fast growing professional services company based in Limassol, Cyprus. Our main Concern is your Business.",290,89,Cyprus,https://t.co/msJpvYtuAt,Success
https://twitter.com/aeclothing1,Used Clothing Distributor,0,17,Carteret,https://t.co/sIZNy1TeMH,Success
http://www.twitter.com/,N/A,N/A,N/A,N/A,N/A,Invalid URL format
https://twitter.com/AETechnologies1,N/A,1,36,"Boulder, CO USA",http://t.co/eMS6qX752b,Success
http://www.twitter.com/wix,"Create, manage and grow your business online with Wix. It’s more than just a website builder, it’s how your vision comes to life. For support: 
@WixHelp
.",3674,413500,We're everywhere!,https://t.co/vzQPGJokOE,Success
https://twitter.com/AGInsuranceLLC,"A & G Insurance prides itself on being your local, full service, Independent Insurance Agency.",255,41,Connecticut,http://t.co/qDF7dVozxt,Success
